,id,title,family_id,brand,origin,season,color,hexadecimal,top_type,adventurous,weather,print,style,fit,application,Nivel
2538,7618f207-57dc-4ecd-8423-e1375e8134e1,Columbine Tshirt knit ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND71,NO_MAINSTREAM,9,blue_dark,00008b,t-shirts,2,warm,smooth,casual,straight,work,2
2539,7fe56e06-a671-46f3-b8a5-f626db6e66b4,Zeze Short woven ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND74,MAINSTREAM,9,khaki,666633,,3,warm,smooth,casual,straight,work,1
2540,7ea8043c-9933-40cd-bb15-f14deaedc2b8,Lenka Pant phase ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND33,NO_MAINSTREAM,9,blue_dark,00008b,,2,cold_season,herringbone,boho,loose,work,1
2541,0dd2e4e3-4efa-45d7-b8ec-dc3b603a4c70,Vimero Top noos,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND55,MAINSTREAM,9,black,000000,tops,2,warm_season,smooth,classic,straight,freetime,2
2542,2613eddd-331c-4d88-9fb3-35f57473a463,Mushroom Skirt midi ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND134,MAINSTREAM,9,blue_klein,0000FF,,3,warm_season,smooth,classic,straight,work,1
2543,39b35e83-2b76-4377-b583-bdc33274c2f7,Mehr Cardigan long,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND167,OWN_PRODUCTION,9,blue_dark,00008b,cardigan,2,warm_season,smooth,casual,tight,work,2
2544,8772bba7-13ee-4edc-a326-30afb7a40428,Cerise Playsuit solid ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND15,WHOLE_SALE,9,blue_dark,00008b,,3,warm,smooth,classic,straight,freetime,1
2545,b3d21512-4de0-4f72-93a1-462e754477cf,Bat Shirt cotton ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND132,NO_MAINSTREAM,9,white,FFFFFF,shirt,3,warm_season,smooth,boho,loose,work,2
2546,3b294f3f-dac3-448f-8015-58132818c03f,Erin Jeans medium,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND89,MAINSTREAM,9,blue,000081,,2,cold_season,smooth,casual,tight,freetime,1
2547,1cec20a7-4c80-4dfb-9a80-1c8ea946f8b7,Mira Cardigan short,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND167,OWN_PRODUCTION,9,blue_dark,00008b,cardigan,2,warm_season,smooth,casual,tight,work,2
2548,8f95b505-da5a-4549-adb7-24b728845c70,Amina Pant phase ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND33,NO_MAINSTREAM,9,gray_light,D3D3D3,,2,warm_season,smooth,street,tight,work,1
2550,fae80d54-51e9-406d-92e9-7191421bf5d3,Ihcatarina Dress stripes ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND89,MAINSTREAM,9,blue_dark,00008b,,2,warm_season,vertical_stripes,classic,straight,work,1
2553,74b4c34a-7257-4449-8a44-f1d762321571,Sheep Jacket leather,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND167,OWN_PRODUCTION,9,brick,8e1d03,,3,cold_season,smooth,street,tight,freetime,3
2554,39b35e83-2b76-4377-b583-bdc33274c2f7,Mehr Cardigan long,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND167,OWN_PRODUCTION,9,rust,B94600,cardigan,2,warm_season,smooth,casual,tight,work,2
2555,f2fe6295-13f1-41c4-aa9a-3bf6effcfc0c,Vmdotti Jumpsuit culotte ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND102,MAINSTREAM,9,blue,000081,,3,warm,vertical_stripes,boho,straight,work,1
2557,092f3264-e068-46ea-9387-cae1552d493e,Lity Jacket tiffosi,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND19,MAINSTREAM,9,ecru,ECE9D6,,2,cold_season,smooth,casual,straight,freetime,3
2560,39b35e83-2b76-4377-b583-bdc33274c2f7,Mehr Cardigan long,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND167,OWN_PRODUCTION,9,khaki,666633,cardigan,2,warm_season,smooth,casual,tight,work,2
2562,1cec20a7-4c80-4dfb-9a80-1c8ea946f8b7,Mira Cardigan short,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND167,OWN_PRODUCTION,9,rust,B94600,cardigan,2,warm_season,smooth,casual,tight,work,2
2563,b9806f06-fe9d-4316-9486-ac056042dd3c,Ariel Top cerise,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND15,WHOLE_SALE,9,green_light,BBE2AD,tops,2,warm,floral,classic,straight,freetime,2
2564,c951c63c-833b-4f8a-87f9-3d74a991977c,Maggie Tshirt flamingo ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND127,NO_MAINSTREAM,9,blue,000081,t-shirts,2,warm_season,horizontal_stripes,classic,straight,work,2
2565,6bcdcd81-c020-42a5-beb2-581c782e5095,Leessential Tshirt slim ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND138,PREMIUM,9,pink,FFC0CB,t-shirts,2,warm,smooth,casual,straight,freetime,2
2575,63362fae-c4c6-44c6-99f8-48d61dddbacd,Luna Skirt majolica ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND91,WHOLE_SALE,9,green_light,BBE2AD,,3,warm,geometric,boho,straight,work,1
2581,f536d088-3308-45fd-99ca-8d8e2ab02cc8,Onlkira Short belt ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND119,MAINSTREAM,9,black,000000,,2,warm,smooth,classic,straight,freetime,1
2586,74648d78-662e-4c0b-9e19-567d7dea721b,Esprit Bag shopper ,882ecdf8-325d-4826-a066-1b263e438f09,BRAND100,NO_MAINSTREAM,9,black,000000,,2,cold_season,smooth,classic,,work,3
2596,a37e02d7-23b7-4e6f-b044-aa10e72d85b4,Annais Top denim ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND151,NO_MAINSTREAM,9,blue_light,87CEFA,tops,2,warm,smooth,classic,straight,work,2
2597,3ff75b0b-0753-457a-bdb1-137c4b733ecf,Baranya Shorts fit ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND90,MAINSTREAM,9,strawberry,d0455f,,2,warm,smooth,boho,straight,freetime,1
2601,d5693359-8080-422b-9452-e87508cd72a1,Cathy Bag closet ,882ecdf8-325d-4826-a066-1b263e438f09,BRAND167,OWN_PRODUCTION,9,rust,B94600,,2,cold_season,smooth,boho,,work,3
2612,3fc5c734-24b8-4e52-aa8e-61fc7bc544e7,Chino Pant slim ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND151,NO_MAINSTREAM,9,green,008000,,2,warm_season,smooth,classic,straight,work,1
2613,00efaf4b-69ac-4ae1-9a17-027ecf6d05af,Vichino Short noos ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND55,MAINSTREAM,9,beige,DFC8B2,,2,warm,smooth,classic,tight,freetime,1
2615,07139800-e2c7-4197-aa4f-a5e7952ef832,Captain Skirt denim ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND160,NO_MAINSTREAM,9,blue_dark,00008b,,2,warm_season,smooth,street,tight,work,1
2619,2d46fed1-7247-4e46-9f1b-3eefe3d6b663,Cassidy Dress cruise,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND127,NO_MAINSTREAM,9,lilac,BBA9E4,,3,warm,vertical_stripes,street,straight,work,1
2622,bb6827a6-9407-45c5-a45c-6d3465edb607,Onlkarmen Dress short ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND119,MAINSTREAM,9,ecru,ECE9D6,,3,warm,floral,boho,straight,freetime,1
2640,9c10d32f-4bba-4e18-989c-01172245a814,Zawov Top antique ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND35,MAINSTREAM,9,ecru,ECE9D6,tops,2,warm,smooth,classic,straight,work,2
2648,da8b4718-d3d3-4482-a02c-4ddc09d24786,Tere Shirt esprit ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND132,NO_MAINSTREAM,9,taupe,9A8176,blouse,3,warm_season,smooth,classic,straight,work,2
2660,2f23f30a-31ce-4ffd-aa29-1fe80a1dd2d7,Dou Jeans onesize ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND19,MAINSTREAM,9,mint,c4ddce,,3,warm_season,smooth,street,tight,freetime,1
2665,b7653b4c-024d-4a84-afbe-5999b91a90b9,Yois Jacket bomb,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND15,WHOLE_SALE,9,black,000000,,2,warm_season,retro,street,loose,freetime,3
2675,0dd2e4e3-4efa-45d7-b8ec-dc3b603a4c70,Vimero Top noos,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND55,MAINSTREAM,9,beige,DFC8B2,tops,2,warm_season,smooth,classic,straight,freetime,2
2681,b6e75c9b-aa4f-400b-82a3-3dbd35c3539b,Line Dress closet ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND148,NO_MAINSTREAM,9,blue_dark,00008b,,2,cold_season,smooth,classic,tight,working_girl,1
2683,c2a55029-48e0-42fd-b75d-7be390d36077,Franzu Sweater basic ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND35,MAINSTREAM,9,blue_dark,00008b,sweaters,2,cold_season,smooth,classic,straight,freetime,2
2684,2ca537e8-919c-4650-85cb-30543cd19f19,Leo Jumpsuit printed ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND91,WHOLE_SALE,9,black,000000,,3,warm_season,animal_print,night,straight,special_occasion,1
2685,9c7f69a7-3ac7-4483-a9de-e8ebdc45929c,Shamburgo Jeans solid ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND163,NO_MAINSTREAM,9,blue_dark,00008b,,2,warm_season,smooth,classic,tight,work,1
2687,fe5e6bc1-1fa9-49fb-830a-5b0b683ef817,Winona Short woven ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND74,MAINSTREAM,9,blue_dark,00008b,,3,warm,floral,boho,straight,freetime,1
2697,e78f6bfe-6547-4955-ab41-b66a6041be07,Atelier Tshirt nathael ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND11,WHOLE_SALE,9,white,FFFFFF,t-shirts,2,warm,smooth,casual,straight,work,2
2698,54d1c2d9-cfcb-4102-a3cb-c66d70c1e07c,Objthessi Cardigan noos ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND101,NO_MAINSTREAM,9,black,000000,cardigan,2,warm_season,smooth,classic,straight,work,2
2700,0fcd3259-cc58-46c5-a8b9-66af9c64d9e8,Vince Shirt summ ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND72,WHOLE_SALE,9,ecru,ECE9D6,shirt,3,warm_season,cachemere,boho,straight,freetime,2
2702,1dd94771-0baa-419e-b93e-63ffd0fee8fb,York Bag cotton ,882ecdf8-325d-4826-a066-1b263e438f09,BRAND167,OWN_PRODUCTION,9,garnet,800000,,2,warm,smooth,boho,,work,3
2706,0e0a4757-3a97-42f9-bd5f-4eeedae359a6,Onlserena Cardigan stripes ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND119,MAINSTREAM,9,black,000000,cardigan,2,warm_season,horizontal_stripes,casual,loose,work,2
2714,c253a3c4-ebda-47f0-a5fe-aff8ac4d4d99,Moon Top knot ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND121,NO_MAINSTREAM,9,blue_dark,00008b,tops,3,warm,miniprint,boho,loose,freetime,2
2715,3927b576-dfda-49f9-966b-3ee29adb49a2,Saint Top singlet,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND152,NO_MAINSTREAM,9,khaki,666633,tops,2,warm,smooth,classic,straight,night,2
2717,5a1826ae-b321-420e-84b7-0b9e20b08099,Carthunder Skirt pencil ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND39,MAINSTREAM,9,black,000000,,2,warm_season,smooth,casual,tight,freetime,1
2719,6ab3916d-970a-4690-9aa3-3eec757e8eb3,Pclou Jacket denim,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND142,MAINSTREAM,9,sand,ebd6a7,,2,warm_season,smooth,casual,straight,work,3
2720,a61ed994-4d8b-4a8f-94f5-f6f9ea41ae5c,Wave Sweater  zeze ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND74,MAINSTREAM,9,black,000000,t-shirts,3,warm,smooth,night,straight,work,2
2722,60abaac7-33e6-4ca6-9f1f-032874143af0,Serena Jacket suedette ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND153,MAINSTREAM,9,brown,462C0E,,2,cold_season,smooth,classic,straight,work,3
2723,c70c73d0-edec-42fe-a9bd-4a2da91d6f0c,Jacey Shirt pepper ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND2,NO_MAINSTREAM,9,camel,C19A6B,blouse,3,warm_season,animal_print,classic,straight,work,2
2724,a17af852-f52e-4435-9519-e0f08528f6f7,Leo Skirt majolica ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND91,WHOLE_SALE,9,brown,462C0E,,3,warm_season,animal_print,street,straight,work,1
2725,287e0a4c-ba00-4b4b-9fc0-8320619e5eb9,Bona Jeans colors ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND106,WHOLE_SALE,9,red,B11730,,2,warm_season,smooth,street,tight,work,1
2732,6e1d6293-a28c-4f42-863c-0504316ee81a,Shnauplia Top flowers ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND158,NO_MAINSTREAM,9,black,000000,tops,2,warm,floral,boho,straight,work,2
2733,2845a931-d52a-434e-a47c-2e4067c27c0a,Toxiko Jeans colors ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND165,WHOLE_SALE,9,green,008000,,2,cold_season,smooth,casual,tight,freetime,1
2741,79c51e0c-28ef-4f1e-9257-7285c1ce717b,Onlvenice Sweater oneck ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND119,MAINSTREAM,9,blue_dark,00008b,sweaters,1,cold_season,smooth,classic,tight,work,2
2830,bfe27b4f-28e5-40fa-88e7-5a8e4a1762c8,Deneen Dress fit ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND90,MAINSTREAM,9,blue_dark,00008b,,3,warm,floral,boho,straight,work,1
2849,4dfbf9ad-f672-4c76-adae-e3358cb515e9,Vilucy Shirt noos ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND55,MAINSTREAM,9,black,000000,blouse,2,warm_season,smooth,classic,straight,work,2
2851,4dfbf9ad-f672-4c76-adae-e3358cb515e9,Vilucy Shirt noos ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND55,MAINSTREAM,9,blue_dark,00008b,blouse,2,warm_season,smooth,classic,straight,work,2
2853,42e6a13c-5d7b-4d9e-be71-efb396111f3d,Pckamala Tshirt noos,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND142,MAINSTREAM,9,black,000000,t-shirts,2,warm_season,smooth,casual,straight,freetime,2
2871,504c0af1-45d3-460a-af0b-3c4f5c0f1760,Newport Scarf nude ,b263ba41-adab-4a83-a3e0-2766522f5aec,BRAND133,OWN_PRODUCTION,9,blue_petrol,153668,,2,cold_season,miniprint,boho,,work,3
2873,ece64a75-ad94-46ee-a3e1-848a8df43828,Icmarrakech Dress miniprint ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND89,MAINSTREAM,9,yellow,FFFF00,,2,warm,floral,boho,straight,freetime,1
2918,468e0495-433e-454f-9b75-427982a4c5c8,Tube Skirt leather ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND32,OWN_PRODUCTION,9,brown,462C0E,,3,cold,smooth,boho,tight,freetime,1
2932,f6e6ea96-b03b-4659-8f27-b166664deb4e,Golightly Jacket solid ,35405a7d-7018-440b-9d16-76206ac3e224,BRAND166,NO_MAINSTREAM,9,blue_dark,00008b,,2,cold_season,smooth,classic,straight,freetime,3
2933,5a963441-f583-4131-914f-2ecf0983a31f,Pckarie Tshirt noos ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND142,MAINSTREAM,9,black,000000,sweaters,3,cold,smooth,boho,loose,freetime,2
2939,c7273f7a-e7e8-4d90-8372-c92035e8b228,Fqfaviola Skirt printed ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND131,MAINSTREAM,9,khaki,666633,,3,warm_season,floral,boho,straight,work,1
2942,59509316-d382-42bd-83aa-684a8eea91b7,High Jeans rise,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND134,MAINSTREAM,9,black,000000,,2,cold_season,smooth,street,tight,freetime,1
2944,468e0495-433e-454f-9b75-427982a4c5c8,Tube Skirt leather ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND32,OWN_PRODUCTION,9,grey_dark,5F5E5E,,3,cold,smooth,boho,tight,freetime,1
2945,908463c1-4137-4237-8cc4-1ad1c2717bc3,Caravana Jacket biker,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND39,MAINSTREAM,9,black,000000,,3,cold_season,smooth,street,tight,freetime,3
2947,5f2ea83f-2bb6-4865-8e48-e1cce5e1d801,Jane Shirt off ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND130,MAINSTREAM,9,ecru,ECE9D6,shirt,2,warm_season,smooth,classic,straight,work,2
2949,cbd140f8-e164-4c5a-89b9-a40f901ee469,Lidia Cardigan lace ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND134,MAINSTREAM,9,blue_dark,00008b,cardigan,2,warm,smooth,boho,loose,work,2
2950,0f950e4e-18c7-4a93-bf0f-50f94a8a81c6,Rave Parka windstop ,35405a7d-7018-440b-9d16-76206ac3e224,BRAND112,NO_MAINSTREAM,9,khaki,666633,,2,warm_season,smooth,casual,straight,work,3
2953,34402f73-5081-4ca7-8c99-042a2351a416,Scdollie Sweater pathwork ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND66,MAINSTREAM,9,khaki,666633,sweaters,2,cold_season,two_tone,street,straight,freetime,2
2962,90d73dc9-8268-48fb-9637-d2ad962d76da,Vmdonnadina Skirt suede,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND102,MAINSTREAM,9,green_dark,164A0A,,3,cold_season,smooth,street,straight,freetime,1
2963,d4227b80-ed1c-454a-804e-2f0d23ed267c,Tie Top sew ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND143,OWN_PRODUCTION,9,blue,000081,t-shirts,2,warm,smooth,casual,straight,freetime,2
2964,2f801b39-f99d-47f4-abd5-8e6bdb409d02,Ties Top ycoo ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND25,WHOLE_SALE,9,black,000000,tops,2,cold_season,smooth,night,straight,night,2
2969,63e872a6-118a-461e-82a2-ffbdca17f33e,Viofficiel Top strap ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND55,MAINSTREAM,9,black,000000,tops,2,warm_season,smooth,classic,tight,freetime,2
2970,d4e912d1-df55-4dec-9b97-243e1734074b,Casual Sweatshirt esprit ,3087da56-5a27-4e58-aea7-1555c640f232,BRAND132,NO_MAINSTREAM,9,blue_dark,00008b,hoodies,2,cold_season,smooth,street,straight,freetime,2
2971,1c882318-59de-4826-aae2-580faab24d4e,Cerise Shirt print ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND15,WHOLE_SALE,9,pink,FFC0CB,shirt,2,cold_season,liberty,classic,straight,work,2
2973,8b30be61-1658-4c01-8607-3493c3da358b,Viblue Jacket noos,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND55,MAINSTREAM,9,pink,FFC0CB,,3,cold_season,smooth,street,tight,freetime,3
2974,8613849d-04db-41e9-b72e-8a6ea5979cac,Basic Shirt colors ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND15,WHOLE_SALE,9,brown,462C0E,shirt,2,cold_season,smooth,classic,straight,work,2
2975,8613849d-04db-41e9-b72e-8a6ea5979cac,Basic Shirt colors ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND15,WHOLE_SALE,9,white,FFFFFF,shirt,2,cold_season,smooth,classic,straight,work,2
2976,8e94941c-38d5-4e87-b686-5fd334a2e7af,Onllorca Parka spring,35405a7d-7018-440b-9d16-76206ac3e224,BRAND119,MAINSTREAM,9,green_dark,164A0A,,3,cold_season,smooth,casual,straight,freetime,3
2977,1ee502a7-b096-42ca-9227-6afb0528d8d3,Onlcarrie Coat bonded ,74ba5e25-afd5-490b-a3a8-2175020c4487,BRAND119,MAINSTREAM,9,blue_dark,00008b,,2,cold_season,smooth,classic,straight,work,2
2978,cb534e10-2459-4296-a208-cb898ca85cac,Sclilly Pant solid ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND66,MAINSTREAM,9,khaki,666633,,2,warm_season,smooth,boho,tight,freetime,1
2979,dd0d477d-ce48-4fc4-ae09-30f589f01ed4,Daisy Dress long ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND54,MAINSTREAM,9,black,000000,,1,warm_season,floral,street,tight,freetime,1
2980,ede8dbcc-8147-4d84-9f9d-f2fe3b264ec1,Vifilak Cardigan knit ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND55,MAINSTREAM,9,blue_light,87CEFA,cardigan,1,warm_season,smooth,classic,straight,freetime,2
2982,1ee502a7-b096-42ca-9227-6afb0528d8d3,Onlcarrie Coat bonded ,74ba5e25-afd5-490b-a3a8-2175020c4487,BRAND119,MAINSTREAM,9,gray_light,D3D3D3,,2,cold_season,smooth,classic,straight,work,2
2983,930291ab-1f53-4dfa-8313-e79c28151196,Denim Shirt tencel ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND151,NO_MAINSTREAM,9,blue,000081,shirt,2,warm_season,smooth,casual,straight,freetime,2
2984,ba3d0c27-0e0b-4e7c-9c0a-21c07ea313f2,Onltamari Dress stripes ,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,BRAND119,MAINSTREAM,9,black,000000,,2,warm_season,vertical_stripes,boho,straight,freetime,1
2985,d9b82e5d-5aa6-4367-8613-3a2912dcafce,Lorena Shirt casual ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND173,PREMIUM,9,khaki,666633,t-shirts,2,warm,smooth,street,straight,freetime,2
2986,d9b82e5d-5aa6-4367-8613-3a2912dcafce,Lorena Shirt casual ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND173,PREMIUM,9,black,000000,t-shirts,2,warm,smooth,street,straight,freetime,2
2988,f7efe893-a315-4a06-96bd-75ae632a8ec9,Objbay Shirt print,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND101,NO_MAINSTREAM,9,black,000000,shirt,3,cold_season,animal_print,street,straight,work,2
2990,4906e860-aed2-49ae-8d44-b0fb6870f741,Frhatre Coat outerwear ,74ba5e25-afd5-490b-a3a8-2175020c4487,BRAND35,MAINSTREAM,9,blue_dark,00008b,,2,cold_season,smooth,street,straight,freetime,2
2991,f19eeed0-d537-4c7f-8dfa-5da554948df4,Carwilly Jeans reg ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND39,MAINSTREAM,9,black,000000,,2,cold_season,smooth,casual,tight,freetime,1
2992,ede8dbcc-8147-4d84-9f9d-f2fe3b264ec1,Vifilak Cardigan knit ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND55,MAINSTREAM,9,green_light,BBE2AD,cardigan,1,warm_season,smooth,classic,straight,freetime,2
2993,0a2e1d54-741d-4dc9-a08b-ec97429d874c,Bynonina Cardigan pocket,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND76,MAINSTREAM,9,yellow,FFFF00,cardigan,2,cold_season,smooth,minimal,straight,freetime,2
2994,6d65c2b2-854c-436f-9a74-52680c24457a,Onllia Sweater knit ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND119,MAINSTREAM,9,orange,FFA500,sweaters,2,cold,horizontal_stripes,street,straight,freetime,2
2995,57071a59-7ea9-407d-a832-2a45575b35fd,Blues Top majo ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND91,WHOLE_SALE,9,blue_dark,00008b,tops,2,warm,smooth,boho,straight,work,2
2996,908463c1-4137-4237-8cc4-1ad1c2717bc3,Caravana Jacket biker,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND39,MAINSTREAM,9,orange,FFA500,,3,cold_season,smooth,street,tight,freetime,3
2997,ede8dbcc-8147-4d84-9f9d-f2fe3b264ec1,Vifilak Cardigan knit ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND55,MAINSTREAM,9,coral,E65A5B,cardigan,1,warm_season,smooth,classic,straight,freetime,2
2998,f8c0abd5-70e9-4189-a1c0-310fa29199a8,Shine Tshirt colors ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND58,WHOLE_SALE,9,khaki,666633,t-shirts,3,warm,smooth,night,loose,freetime,2
3000,825fd038-89fc-4a4f-a545-4143a85c8605,Daphne Bag nude ,882ecdf8-325d-4826-a066-1b263e438f09,BRAND133,OWN_PRODUCTION,9,khaki,666633,,2,warm_season,smooth,street,,freetime,3
3001,c11e2bfb-988b-4c0d-b865-76c9884d4529,Mademoiselle Tshirt emijo ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND58,WHOLE_SALE,9,blue_dark,00008b,t-shirts,2,warm,smooth,casual,straight,freetime,2
3002,e126db78-a5e7-4ba7-a42f-ab1e65e0fc06,Minidots Shirt buttons ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND58,WHOLE_SALE,9,black,000000,blouse,2,warm_season,polka_dot,boho,straight,work,2
3003,c0b63086-b07c-4f22-b0ff-e0dd52dffbc2,Miniprints Skirt emijo ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND58,WHOLE_SALE,9,black,000000,,3,warm_season,polka_dot,boho,loose,work,1
3004,0306c734-daf2-408a-958d-f12024cce49a,Johnson Shirt bohck ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND97,OWN_PRODUCTION,9,white,FFFFFF,shirt,3,cold_season,animal_print,street,straight,freetime,2
3005,34eb0fe1-b0a3-487b-9d45-438e3fde74ab,Bocarthur Bag cow ,882ecdf8-325d-4826-a066-1b263e438f09,BRAND97,OWN_PRODUCTION,9,brown,462C0E,,2,warm_season,smooth,boho,,freetime,3
3007,c4217adc-19eb-4a15-9b83-1102074cf172,Dede Bag bohck ,882ecdf8-325d-4826-a066-1b263e438f09,BRAND97,OWN_PRODUCTION,9,black,000000,,3,cold_season,smooth,boho,,freetime,3
3008,c8e6aaa9-fa99-4619-b6ac-e5058950ff82,Eloha Tshirt desires ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND150,MAINSTREAM,9,black,000000,t-shirts,1,warm,smooth,street,tight,freetime,2
3009,8dcf18c2-d259-4819-afb8-d17aa05aad55,Ludlow Scarf cahier ,b263ba41-adab-4a83-a3e0-2766522f5aec,BRAND157,OWN_PRODUCTION,9,grey_dark,5F5E5E,,2,warm_season,checked,casual,,work,3
3010,6c0699a7-bc32-49da-92bb-e0062b8c39a9,Edua Sweatshirt desires ,1b93b30c-833f-45a8-ba69-c21d2e7f4824,BRAND150,MAINSTREAM,9,beige,DFC8B2,sweaters,2,cold,smooth,classic,straight,freetime,2
3011,f0c05a5a-f180-440a-9a85-a87675cc539c,Ruched Top sleeve ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND54,MAINSTREAM,9,black,000000,tops,3,cold_season,smooth,classic,straight,freetime,2
